trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-151.99014512250466,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-12.430528546987635,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-126.21569784745738,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-259.6419108561818,"{0: 7, 1: 2, 2: 4, 3: 3, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-120.54145527478511,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-296.0131331759637,"{0: 8, 1: 5, 2: 6, 3: 1, 4: 5}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-125.10338757934629,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",35,0,-176.21795055640473,"{0: 20, 1: 5, 2: 7, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,4,-180.50543084855465,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 3}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-148.26854827655018,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-180.11258499924708,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-79.42365522658524,"{0: 16, 1: 0, 2: 8, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-157.23525858466434,"{0: 10, 1: 5, 2: 2, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,12,-5.08528336635176,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-46.095367694233055,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",35,3,-130.81290811613323,"{0: 20, 1: 4, 2: 6, 3: 0, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-99.1214694523987,"{0: 11, 1: 0, 2: 7, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,9,-18.04847648123252,"{0: 8, 1: 2, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,9,-43.66404284684775,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-70.77460967940739,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",30,0,-193.18154541276095,"{0: 17, 1: 4, 2: 5, 3: 1, 4: 3}",0
2,True,"{'a': 0, 'e': 0}",20,0,-128.65041054816615,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,0,-135.96083902431738,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,15,-34.301282629885094,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",30,0,-72.8572908741746,"{0: 21, 1: 3, 2: 4, 3: 2, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,-87.12407011198567,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-46.709975465846256,"{0: 11, 1: 6, 2: 3, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",30,9,-63.128270907598385,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",20,0,-39.66799288489718,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-77.66655419820387,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
